Sample Coleosporium_tussilaginis Dothistroma_septosporum Gremmenia_infestans Lophodermella_sulcigena Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii Sirococcus_piceicola
166 GE6-7213-T1-ITS 0 0.0842116146375191 0.000116314384858452 0 0.000452333718893979 0 2.5847641079656e-05 0 0
167 GE7-7423-T1-ITS 0 0.00317151918626246 0.000128575102145776 0 0.000103574387839653 0 0 0 0
168 GE7-7427-T1-ITS 0 0.00174084502038387 0.000301983319862509 0 0.000319747044560303 0 0 0 0
169 GE7-7575-T1-ITS 0 0.00591956478692693 0 0 0 0 0 0 0
170 GE7-7658-T1-ITS 0 0.0261187400055842 6.34566083711958e-05 0 3.17283041855979e-05 0 0 0 0
171 GE9-7002-T1-ITS 0.00017215160818294 0.0097265658623361 0 0 0 0 0 0 0
172 GE9-7053-T1-ITS 0 0.0243264565745417 0.000223634432248085 0 0.00142877553936277 0 0 0 0
173 GE9-7272-T1-ITS 0 0.00264024327955933 0.00020430453948971 0 0.000220020273296611 0 0 0 0
174 GE9-7480-T1-ITS 0 0.0719262473304278 4.83180487239203e-05 0 0.000647461852900532 0 0 0.000889052096520134 0
175 GT1-7236-T1-ITS 0 0.00398814433456905 0.00025379100310894 0 0.000172215323538209 0 0 0 0
176 GT1-7384-T1-ITS 0 0.0302263461268101 0.000266376612133455 0 0.000140587656403768 0.000229379860448253 0 0 0
177 GT1-7407-T1-ITS 0 0.033304469752579 0.00018021423516639 0 0.00128787246106713 3.51637532031981e-05 0 0 0
178 GT1-7482-T1-ITS 0 0.00338581744998224 6.62957262933586e-05 0 8.52373623771753e-05 0 0 0 0
179 GT2-7200-T1-ITS 0 0.000753392406146997 9.41740507683746e-05 0 0.000214031933564488 0 0 2.56838320277385e-05 0
180 GT2-7210-T1-ITS 0 0.0022233188472702 3.18375013928907e-05 0 4.24500018571876e-05 0 0 0 0
181 GT2-7297-T1-ITS 5.87913874075765e-05 0.00447160375988214 5.18747535949204e-05 0 0.000121041091721481 0 0 0 0
182 GT2-7573-T1-ITS 0 0.0582469227900037 0.000156657963446475 0 0.000123088399850802 0 0 0.000466243938828795 0
183 GT5-7107-T1-ITS 0 0.0396367106625259 0.000331586438923395 0 0.000105137163561077 0 0 0.000105137163561077 0
184 GT5-7309-T1-ITS 0 0.0813996225641606 0.000222644736749104 0 0.000219110693308642 0 0 0.000731546992175628 0
185 GT5-7456-T1-ITS 0 0.00680505696894022 5.07257686904948e-05 0 0.000144373341657562 0 0 0 0
186 GT6-7349-T1-ITS 0 0.0335406310035452 0 0 0.000420867085223109 0 4.95137747321305e-05 6.93192846249827e-05 0
187 GT6-7486-T1-ITS 0 0.0127695139755824 0.000126954571422526 0 0.000528977380927192 0 0 0 0
188 GT6-7595-T1-ITS 0 0.0139529256784913 0 0 0.000282284623553291 0 5.37684997244364e-05 0 0
189 GT6-7618-T1-ITS 0 0.00415654389608336 9.42595909133754e-05 0 0.000179397285931908 1.82437917896856e-05 0 0 0
190 GT8-7009-T1-ITS 0 0.00220051387722913 0.000343432801648477 0 0.000254394667887761 0 0 0 0
191 GT8-7254-T1-ITS 0 0.00208047452525342 0 0 0 0 0 0 0
192 GT8-7341-T1-ITS 0 0.0440303032516821 0 0 0.00228662434341737 0 0 0.00352125537868106 0
193 GT8-7420-T1-ITS 0 0.000853015291668623 0.000328684791285158 0 6.26066269114586e-05 0 0 0.000250426507645834 0
194 RM1-7145-T1-ITS 0 0.00275615993460334 0 0 0.00011046733204823 0 1.65700998072345e-05 0 0
195 RM1-7391-T1-ITS 0 0.00456881781838949 0.000248705808662331 0 0.00117904975958438 0 0 0 0
196 RM1-7523-T1-ITS 0 0.00369265927205841 8.63942924028761e-05 0 0 0 0 0 1.39345632907865e-05
197 RM1-7665-T1-ITS 0 0.00108932461873638 5.96890202047333e-05 0 0 0 0 0 0
198 RM10-7202-T1-ITS 0 0.00151673751895922 0 0 0.000149537501869219 0 0 0 0
199 RM10-7324-T1-ITS 0 0.00394019523332479 0.000192204645528039 0 0.000128136430352026 0 0 0 0
200 RM10-7352-T1-ITS 0 0.0101415586167981 0.000214668612995424 0 0.00226935390880877 0.000272935807951325 0 9.20008341408962e-05 0
201 RM10-7402-T1-ITS 0 0.00728940579057291 0 0 0.000361740175000341 0 0 0 0
