Sample Coleosporium_tussilaginis Cyclaneusma_minus Dothistroma_sp Gremmenia_infestans Gremmeniella_abietina Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii Sirococcus_piceicola
113 CR9-7320-T3-ITS 0 0 0.109692693585311 7.82215547316218e-05 0 0.000667490600376506 2.60738515772073e-05 4.69329328389731e-05 0.00104295406308829 0
114 CR9-7389-T3-ITS 0 0 0.0108864104062397 0.000220184107788589 0 0.00130416740767088 3.81087878864866e-05 0 0.000512351481584987 0
115 CR9-7469-T3-ITS 0 0 0.0302167026030813 0.00010238866738138 0 0.000716720671669658 0 0 0.00154787573629498 0
116 EP7-Amp-Blank-T3-ITS 0 0 0 0 0 0 0 0 0 0
117 EP7-DNAblank-T3-ITS 0 0 7.65511170083823e-05 0 0 0 0 0 0 0
118 EP7-Idx-Blank-T3-ITS 0 0 0 0 0 0 0 0 0 0
119 EP7-Pine-Rep1-T3-ITS 0 0 0.00396539461022449 5.57851527815872e-05 0 0.000134814119222169 0 0 0.00013016535649037 0
120 EP7-Pine-Rep2-T3-ITS 0 0 0.00369745336599937 1.7326398153699e-05 0 7.27708722455359e-05 4.85139148303572e-05 0 0 0
121 EP7-Pine-Rep3-T3-ITS 0 0 0.00367351086030498 3.90799027692019e-05 0 5.47118638768827e-05 3.90799027692019e-05 0 0 0
122 EP7-Syn-Extr-T3-ITS 0 0 2.19358376748012e-05 0 0 0 0 0 0 0
123 EP7-Syn-Rep1-T3-ITS 0 0 0 0 0 0 0 0 0 0
124 EP7-Syn-Rep2-T3-ITS 0 0 0 0 0 0 0 0 0 0
125 EP7-Syn-Rep3-T3-ITS 0 0 0 0 0 0 0 0 0 0
126 EP7-Syn-Rep4-T3-ITS 0 0 0 0 0 0 0 0 0 0
127 EP8-Amp-Blank-T3-ITS 0 0 0 0 0 0 0 0 0 0
128 EP8-DNAblank-T3-ITS 0 0 0 0 0 0 0 0 0 0
129 EP8-Idx-Blank-T3-ITS 0 0 0 0 0 0 0 0 0 0
130 EP8-Pine-Rep1-T3-ITS 0 0 0.0037747803451882 0 0 8.39688246654606e-05 4.58011770902512e-05 0 9.54191189380234e-05 0
131 EP8-Pine-Rep2-T3-ITS 0 0 0.00348130930683961 9.06046466244542e-05 0 2.78783528075244e-05 0 0 0.000247420381166779 0
132 EP8-Pine-Rep3-T3-ITS 0 0 0.00322221796002915 9.44239695246638e-05 0 0.00015934044857287 0 0 0.000100325467619955 0
133 EP8-Syn-Extr-T3-ITS 0 0 0 0 0 0 0 0 1.98997054843588e-05 0
134 EP8-Syn-Rep1-T3-ITS 0 0 0 0 0 0 0 0 0 0
135 EP8-Syn-Rep2-T3-ITS 0 0 0 0 0 0 0 0 0 0
136 EP8-Syn-Rep3-T3-ITS 0 0 0 0 0 0 0 0 0 0
137 EP8-Syn-Rep4-T3-ITS 0 0 0 0 0 0 0 0 0 0
138 EP9-DNAblank-T3-ITS 0 0 0 0 0 0 0 0 0 0
139 EP9-Pine-Rep1-T3-ITS 0 0 0.00325214043937081 0 0 0.000129854764659882 3.46279372426351e-05 0 3.46279372426351e-05 0
140 EP9-Pine-Rep2-T3-ITS 0 0 0.00252165475073913 0.000165514018388283 0 5.19259665531868e-05 0.000126569543473393 0 5.19259665531868e-05 0
141 EP9-Pine-Rep3-T3-ITS 0 0 0.00414102490366366 4.92979155198054e-05 0 5.20366886042391e-05 9.31182848707436e-05 0 8.21631925330091e-05 0
142 EP9-Syn-Extr-T3-ITS 0 0 6.35291725960561e-05 0 0 0 0 0 0 0
143 EP9-Syn-Rep1-T3-ITS 0 0 0.000422967114306863 0 0 0 0 0 0 0
144 EP9-Syn-Rep2-T3-ITS 0 0 0 0 0 0 0 0 0 0
145 EP9-Syn-Rep3-T3-ITS 0 0 0 0 0 0 0 0 0 0
146 EP9-Syn-Rep4-T3-ITS 0 0 0 0 0 0 0 0 0 0
147 GC1-7085-T3-ITS 0 0 0.221595983112393 4.16977952290773e-05 0 0.00126483312194868 1.73740813454489e-05 0 0.000545546154247094 0
148 GC1-7128-T3-ITS 0 0 0.0488090715329783 6.76115106987167e-05 0 0.000544111681337291 0 5.1513531960927e-05 0.000489378553628806 0
149 GC1-7294-T3-ITS 0 0 0.28558391011753 7.28569511283241e-05 0 0.000713231205782541 0 0 0.000107368138504899 0
150 GC1-7368-T3-ITS 0 0 0.0944495714413583 0 0 0.00103088646976941 2.77783779279182e-05 0 0.000466059451901739 0
151 GC2-7078-T3-ITS 0 0 0.0502616607273543 2.20655567691612e-05 0 0.000787004858100082 6.25190775126233e-05 0 0.00140851804043146 0
152 GC2-7136-T3-ITS 0 0 0.203214474272022 0 0 0.00120314340250985 1.26913861024246e-05 1.01531088819397e-05 0.000913779799374568 0
153 GC2-7276-T3-ITS 0 0 0.178384954180578 1.77594657952689e-05 0 0.000963451019393337 0 0 0.00387156354336862 0
154 GC2-7507-T3-ITS 0 0 0.0836889074340786 0 0 0.000491297968853055 2.01903274871118e-05 0 0.00087491419110818 0
155 GC5-7089-T3-ITS 0 0 0.0267829704749072 8.2736448951611e-05 0 0.000216690699635172 0 2.3638985414746e-05 7.87966180491533e-05 0
156 GC5-7178-T3-ITS 0 0 0.185534506905402 1.34020411308642e-05 0 0.00154123473004939 0.000187628575832099 4.35566336753087e-05 0.000318298476858025 0
157 GC5-7457-T3-ITS 0 0 0.0657659831121833 0.000193003618817853 0 0.00207478890229192 0.000279855247285887 0 2.89505428226779e-05 0
158 GC8-7367-T3-ITS 7.95026315371039e-05 0 0.176134105038877 0 0 0.000683722631219093 0.000294159736687284 0 0.00143899763082158 0
159 GC8-7377-T3-ITS 0 0 0.224657917534316 1.61423106103408e-05 0 0.000731784747668781 0 0 0.018299999461923 0
160 GC8-7501-T3-ITS 0 0 0.100416442263201 0.000136538446951021 0 0.000466506360415987 4.55128156503402e-05 0 0.00374722182187801 0
161 GC8-7582-T3-ITS 0 0 0.180143076549996 3.23336836149058e-05 0 0.00113976234742543 6.87090776816749e-05 0 0.0906676905666478 0
162 GC9-7100-T3-ITS 1.52514584207115e-05 0 0.203553589812026 3.30448265782082e-05 0 0.00185051028837966 9.65925699978394e-05 0 6.10058336828459e-05 0
163 GC9-7275-T3-ITS 0 0 0.0498894466571118 9.72293243642283e-05 0 0.000565370515747549 0 0 0.000100830410451792 0
164 GC9-7537-T3-ITS 0 0 0.116626149979157 4.95280390611135e-05 0 0.000998815454399122 0 1.23820097652784e-05 2.06366829421306e-05 0
165 GC9-7589-T3-ITS 0 0 0.00665688742237866 2.03263738087898e-05 0 0.000345548354749427 8.13054952351592e-05 0 6.4366850394501e-05 0
166 GE1-7087-T3-ITS 0 0 0.0730024698655295 0.000101327816596652 0 0.000261763526208018 0.000257541533849824 0 0.000274429503282599 0
167 GE1-7112-T3-ITS 0 0 0.111810781014553 0 0 0.000731764853141534 0 0 9.62848490975703e-06 0
168 GE1-7638-T3-ITS 0 0 0.121902008379845 6.18438751372161e-05 3.86524219607601e-05 0.000819431345568113 0 0 0.000347871797646841 0
169 GE1-7647-T3-ITS 0 0 0.204074833331634 2.03979642831645e-05 0 0.00155704460694823 0 0 0.000489551142795949 0
170 GE2-7383-T3-ITS 0 0 0.334914385508055 0 0 0.000992032737080324 0 0 0.00150354961713737 0
171 GE2-7483-T3-ITS 5.11901714870745e-05 0 0.0854048945679353 0.000126006575968183 0 0.00105530507373354 0 0 0.00245712823137958 0
