Sample Coleosporium_tussilaginis Cyclaneusma_minus Dothistroma_sp Gremmenia_infestans Gremmeniella_abietina Lophodermella_conjuncta Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii
114 CR7-7652-T2-ITS 0 0 0.045076205461469 6.51726609997486e-05 0 0.000130345321999497 0.000116379751785265 0 0 0
115 CR9-7298-T2-ITS 0 0 0.00938102531759618 0 0 0.000118929633300297 0.000472114604919362 0 0 0
116 CR9-7320-T2-ITS 0 0 0.158866228355238 2.73659581164011e-05 0 0 0.000280501070693111 0 2.73659581164011e-05 0.000519953204211621
117 CR9-7389-T2-ITS 0 0 0.0318114263233816 0.000196704113301569 0 2.73200157363291e-05 0.000398872229750404 0 0 0.000273200157363291
118 CR9-7469-T2-ITS 0 0 0.0595465368197516 0.000564862681167192 0 0.0001930543340698 0.000107252407816555 0 0 0.00363943170524178
119 EP4-Pine-Rep1-T2-ITS 0 0 0.00350646405080517 0.000104332048083466 0 0.000222272624177818 7.25788160580631e-05 0 0 8.16511680653209e-05
120 EP4-Pine-Rep2-T2-ITS 0 0 0.00379770230068025 7.75041285853112e-05 0 0.000238474241800957 0.000160970113215646 0.000113275264855455 0 3.57711362701436e-05
121 EP4-Pine-Rep3-T2-ITS 0 0 0.00369404792676268 0 0 0.000356052812218089 0 6.84716946573248e-06 0 2.73886778629299e-05
122 EP4-Syn-Extr-T2-ITS 0 0 7.86936848317923e-05 0 0 0 0 0 0 0
123 EP4-Syn-Rep1-T2-ITS 0 0 0 0 0 0 0 0 0 0
124 EP4-Syn-Rep2-T2-ITS 0 0 0 0 0 0 0 0 0 0
125 EP4-Syn-Rep3-T2-ITS 0 0 0 0 0 0 0 0 0 0
126 EP4-Syn-Rep4-T2-ITS 0 0 0 0 0 0 0 0 0 0
127 EP5-Amp-Blank-T2-ITS 0 0 0 0 0 0 0 0 0 0
128 EP5-DNAblank-T2-ITS 0 0 0 0 0 0 0 0 0 0
129 EP5-Pine-Rep1-T2-ITS 0 0 0.00312068416020397 5.97577817911399e-05 0 0.0002987889089557 6.97174120896632e-05 0 0 3.31987676617444e-05
130 EP5-Pine-Rep2-T2-ITS 0 0 0.00404703450058147 0 0 0.000387646982814317 9.82039023129603e-05 2.58431321876211e-05 0 4.13490115001938e-05
131 EP5-Pine-Rep3-T2-ITS 0 0 0.00331535387058194 0.000190811733558673 0 0.000408882286197156 4.42955810046919e-05 0 0 1.70367619248815e-05
132 EP5-Syn-Extr-T2-ITS 0 0 0 0 0 0 0 0 0 0
133 EP5-Syn-Rep1-T2-ITS 0 0 0 0 0 0 0 0 0 0
134 EP5-Syn-Rep2-T2-ITS 0 0 0 0 0 0 0 0 0 0
135 EP5-Syn-Rep3-T2-ITS 0 0 1.58785607672521e-05 0 0 0 0 0 0 0
136 EP5-Syn-Rep4-T2-ITS 0 0 0 0 0 0 0 0 0 0
137 EP6-Amp-Blank-T2-ITS 0 0 0 0 0 0 0 0 0 0
138 EP6-DNAblank-T2-ITS 0 0 1 0 0 0 0 0 0 0
139 EP6-Idx-Blank-T2-ITS 0 0 0 0 0 0 0 0 0 0
140 EP6-Pine-Rep1-T2-ITS 0 0 0.00346048737892337 0.00011319351239469 0 0.00011858367965158 5.92918398257898e-05 0 0 5.39016725688998e-05
141 EP6-Pine-Rep2-T2-ITS 0 0 0.00429694916609207 0 0 0.000509638156908595 5.99574302245406e-05 0 0 6.9950335261964e-05
142 EP6-Pine-Rep3-T2-ITS 0 0 0.00389716777698804 2.40937729643774e-05 0 0.000548133334939585 6.62578756520377e-05 0 0 0
143 EP6-Syn-Extr-T2-ITS 0 0 0.000278068918311908 0 0 0 0 0 0 0
144 EP6-Syn-Rep1-T2-ITS 0 0 0 0 0 0 0 0 0 0
145 EP6-Syn-Rep2-T2-ITS 0 0 0 0 0 0 0 0 0 0
146 EP6-Syn-Rep3-T2-ITS 0 0 0 0 0 0 0 0 0 0
147 EP6-Syn-Rep4-T2-ITS 0 0 0 0 0 0 0 0 0 0
148 GC1-7085-T2-ITS 0 0 0.0312352682236951 8.42930776651442e-05 0 1.24878633577991e-05 0.000237269403798184 0 0 0
149 GC1-7128-T2-ITS 0 0 0.0360647413881631 3.70831003753951e-05 0 5.7050923654454e-06 3.70831003753951e-05 0 5.99034698371767e-05 0.000145479855318858
